Condition;Displacement Level;Answer;Time stamp
Body warping;0.12;No;10/26/2021 3:22:08 PM
Body warping;0.1200001;No;10/26/2021 3:22:22 PM
Body warping;6.121397E-05;No;10/26/2021 3:22:31 PM
Body warping;0.15;Yes;10/26/2021 3:22:43 PM
Body warping;2.324581E-06;No;10/26/2021 3:22:52 PM
Body warping;0.09000003;No;10/26/2021 3:23:01 PM
Body warping;0.03000002;No;10/26/2021 3:23:10 PM
Body warping;0.06;Yes;10/26/2021 3:23:21 PM
Body warping;0.06;No;10/26/2021 3:23:31 PM
Body warping;0.02999997;No;10/26/2021 3:23:42 PM
Body warping;7.748604E-07;No;10/26/2021 3:23:51 PM
Body warping;0.03;No;10/26/2021 3:24:03 PM
Body warping;0.09;No;10/26/2021 3:24:14 PM
Body warping;0.12;Yes;10/26/2021 3:24:28 PM
Body warping;0.15;No;10/26/2021 3:24:39 PM
Body warping;0.15;Yes;10/26/2021 3:25:03 PM
Body warping;0.0001116991;No;10/26/2021 3:25:11 PM
Body warping;0.08999997;No;10/26/2021 3:25:22 PM
Body warping;0.06;No;10/26/2021 3:25:31 PM
Body warping;0.12;No;10/26/2021 3:25:41 PM
Body warping;0.09;No;10/26/2021 3:25:51 PM
Body warping;0.06;No;10/26/2021 3:26:01 PM
Body warping;0.15;Yes;10/26/2021 3:26:14 PM
Body warping;0.03000003;No;10/26/2021 3:26:24 PM
