Condition;Displacement Level;Answer;Time stamp
Change Blindness;0;No;8/26/2021 9:18:00 PM
Change Blindness;0.12;Yes;8/26/2021 9:18:27 PM
Change Blindness;0.08999997;Yes;8/26/2021 9:18:59 PM
Change Blindness;0.12;Yes;8/26/2021 9:19:25 PM
Change Blindness;0.12;Yes;8/26/2021 9:19:39 PM
Change Blindness;0.05999997;Yes;8/26/2021 9:20:02 PM
Change Blindness;0.09000003;Yes;8/26/2021 9:20:24 PM
Change Blindness;0;No;8/26/2021 9:20:42 PM
Change Blindness;0.03;No;8/26/2021 9:20:58 PM
Change Blindness;0;No;8/26/2021 9:21:29 PM
Change Blindness;0.03000003;No;8/26/2021 9:22:02 PM
Change Blindness;0.02999997;Yes;8/26/2021 9:22:24 PM
Change Blindness;0.15;Yes;8/26/2021 9:22:44 PM
Change Blindness;0.15;Yes;8/26/2021 9:23:07 PM
Change Blindness;0.09;Yes;8/26/2021 9:23:35 PM
Change Blindness;0.12;Yes;8/26/2021 9:23:49 PM
Change Blindness;0.09;Yes;8/26/2021 9:23:59 PM
Change Blindness;0.06;Yes;8/26/2021 9:24:10 PM
Change Blindness;0;No;8/26/2021 9:24:30 PM
Change Blindness;0.06;No;8/26/2021 9:24:58 PM
Change Blindness;0.05999994;No;8/26/2021 9:25:18 PM
Change Blindness;0.03;No;8/26/2021 9:25:29 PM
Change Blindness;0.15;Yes;8/26/2021 9:25:38 PM
Change Blindness;0.15;Yes;8/26/2021 9:25:48 PM
