Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.03;No;10/24/2021 5:18:58 PM
Change Blindness;0.15;No;10/24/2021 5:19:30 PM
Change Blindness;0.12;Yes;10/24/2021 5:19:48 PM
Change Blindness;0;No;10/24/2021 5:20:05 PM
Change Blindness;0.15;No;10/24/2021 5:20:21 PM
Change Blindness;0.12;No;10/24/2021 5:20:46 PM
Change Blindness;0;No;10/24/2021 5:21:30 PM
Change Blindness;0.15;No;10/24/2021 5:21:44 PM
Change Blindness;0.06;No;10/24/2021 5:21:55 PM
Change Blindness;0.09;No;10/24/2021 5:22:07 PM
Change Blindness;0.03;Yes;10/24/2021 5:22:21 PM
Change Blindness;0.09;No;10/24/2021 5:22:33 PM
Change Blindness;0.02999997;Yes;10/24/2021 5:22:52 PM
Change Blindness;0;No;10/24/2021 5:23:03 PM
Change Blindness;0.08999997;No;10/24/2021 5:23:33 PM
Change Blindness;0.06;No;10/24/2021 5:23:43 PM
Change Blindness;0;No;10/24/2021 5:23:54 PM
Change Blindness;0.06000003;No;10/24/2021 5:24:05 PM
Change Blindness;0.03000003;No;10/24/2021 5:24:16 PM
Change Blindness;0.15;No;10/24/2021 5:24:28 PM
Change Blindness;0.12;No;10/24/2021 5:24:40 PM
Change Blindness;0.06;No;10/24/2021 5:24:55 PM
Change Blindness;0.12;No;10/24/2021 5:25:15 PM
Change Blindness;0.09000003;Yes;10/24/2021 5:25:28 PM
