Condition;Displacement Level;Answer;Time stamp
Body warping;0.03000092;No;8/26/2021 9:35:31 PM
Body warping;0.1200008;No;8/26/2021 9:35:50 PM
Body warping;0.08999997;Yes;8/26/2021 9:36:14 PM
Body warping;0.1500009;Yes;8/26/2021 9:36:32 PM
Body warping;0.03000521;Yes;8/26/2021 9:36:42 PM
Body warping;0.0002861619;No;8/26/2021 9:36:50 PM
Body warping;0.09003342;Yes;8/26/2021 9:36:59 PM
Body warping;0.1200006;Yes;8/26/2021 9:37:07 PM
Body warping;0.06000071;Yes;8/26/2021 9:37:17 PM
Body warping;0.1200012;Yes;8/26/2021 9:37:25 PM
Body warping;0.1500001;Yes;8/26/2021 9:37:36 PM
Body warping;0.03000041;No;8/26/2021 9:37:44 PM
Body warping;0.03000379;No;8/26/2021 9:37:54 PM
Body warping;0.06000215;No;8/26/2021 9:38:04 PM
Body warping;0.150001;Yes;8/26/2021 9:38:12 PM
Body warping;0.0004670024;No;8/26/2021 9:38:20 PM
Body warping;0.09;Yes;8/26/2021 9:38:27 PM
Body warping;0.06000017;No;8/26/2021 9:38:44 PM
Body warping;0.0004330277;No;8/26/2021 9:38:57 PM
Body warping;0.1200016;Yes;8/26/2021 9:39:11 PM
Body warping;0.09000003;No;8/26/2021 9:39:22 PM
Body warping;4.929304E-05;No;8/26/2021 9:39:34 PM
Body warping;0.0600022;No;8/26/2021 9:39:47 PM
Body warping;0.1500002;Yes;8/26/2021 9:39:58 PM
