Condition;Displacement Level;Answer;Time stamp
Change Blindness;0.12;No;12/1/2020 10:16:53 AM
Change Blindness;0.03;No;12/1/2020 10:17:28 AM
Change Blindness;0.06;No;12/1/2020 10:17:45 AM
Change Blindness;0;No;12/1/2020 10:17:56 AM
Change Blindness;0.1199999;No;12/1/2020 10:18:05 AM
Change Blindness;0.12;No;12/1/2020 10:18:12 AM
Change Blindness;0.09;Yes;12/1/2020 10:18:23 AM
Change Blindness;0.15;Yes;12/1/2020 10:18:39 AM
Change Blindness;0;Yes;12/1/2020 10:18:48 AM
Change Blindness;0.09000006;Yes;12/1/2020 10:18:57 AM
Change Blindness;0;Yes;12/1/2020 10:19:06 AM
Change Blindness;0.15;Yes;12/1/2020 10:19:17 AM
Change Blindness;0.12;Yes;12/1/2020 10:19:38 AM
Change Blindness;0.15;Yes;12/1/2020 10:19:45 AM
Change Blindness;0.03000003;No;12/1/2020 10:19:56 AM
Change Blindness;0;Yes;12/1/2020 10:20:04 AM
Change Blindness;0.08999991;Yes;12/1/2020 10:20:10 AM
Change Blindness;0.05999997;Yes;12/1/2020 10:20:17 AM
Change Blindness;0.06;No;12/1/2020 10:20:27 AM
Change Blindness;0.02999997;No;12/1/2020 10:20:37 AM
Change Blindness;0.15;Yes;12/1/2020 10:20:42 AM
Change Blindness;0.05999994;Yes;12/1/2020 10:20:49 AM
Change Blindness;0.03;No;12/1/2020 10:20:55 AM
Change Blindness;0.09;Yes;12/1/2020 10:21:00 AM
