Condition;Displacement Level;Answer;Time stamp
Body warping;8.46386E-06;Yes;11/27/2020 3:20:54 PM
Body warping;0.09;Yes;11/27/2020 3:20:59 PM
Body warping;0.12;Yes;11/27/2020 3:21:08 PM
Body warping;0.15;Yes;11/27/2020 3:21:13 PM
Body warping;0.06000001;Yes;11/27/2020 3:21:18 PM
Body warping;0.03;Yes;11/27/2020 3:21:23 PM
Body warping;3.784895E-05;Yes;11/27/2020 3:21:27 PM
Body warping;0.09000002;Yes;11/27/2020 3:21:31 PM
Body warping;0.06;Yes;11/27/2020 3:21:36 PM
Body warping;0.09000003;Yes;11/27/2020 3:21:46 PM
Body warping;0.12;Yes;11/27/2020 3:21:50 PM
Body warping;4.011393E-05;Yes;11/27/2020 3:21:54 PM
Body warping;0.03;Yes;11/27/2020 3:22:01 PM
Body warping;0.03000019;Yes;11/27/2020 3:22:08 PM
Body warping;0.12;Yes;11/27/2020 3:22:13 PM
