Condition;X;Y;Z;Time stamp
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.789249;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.7892489;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.7892489;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.7264998;0.7892489;0.5235091;11/25/2020 4:10:27 PM
Change Blindness;0.1577498;0.6480733;-0.01366656;11/25/2020 4:10:27 PM
Change Blindness;-0.06690737;0.846025;0.1433914;11/25/2020 4:10:32 PM
Change Blindness;-0.06690737;0.846025;0.1433914;11/25/2020 4:10:32 PM
Change Blindness;-0.08508695;0.8485785;0.1589275;11/25/2020 4:10:32 PM
Change Blindness;-0.0980252;0.8497968;0.1676915;11/25/2020 4:10:32 PM
Change Blindness;-0.1243543;0.8535483;0.1807135;11/25/2020 4:10:32 PM
Change Blindness;-0.1243543;0.8535483;0.1807135;11/25/2020 4:10:32 PM
Change Blindness;-0.1243543;0.8535483;0.1807135;11/25/2020 4:10:32 PM
Change Blindness;-0.1476302;0.8545684;0.1940587;11/25/2020 4:10:32 PM
Change Blindness;-0.1711423;0.855058;0.2104683;11/25/2020 4:10:32 PM
Change Blindness;-0.1711423;0.855058;0.2104683;11/25/2020 4:10:32 PM
Change Blindness;-0.1969454;0.852626;0.2325053;11/25/2020 4:10:32 PM
Change Blindness;-0.2053313;0.8516489;0.2394594;11/25/2020 4:10:32 PM
Change Blindness;-0.2053313;0.8516489;0.2394594;11/25/2020 4:10:32 PM
Change Blindness;-0.2349748;0.8453393;0.2650679;11/25/2020 4:10:32 PM
Change Blindness;-0.2471708;0.843021;0.2761892;11/25/2020 4:10:32 PM
Change Blindness;-0.2471708;0.843021;0.2761892;11/25/2020 4:10:32 PM
Change Blindness;-0.2582741;0.8413316;0.2864953;11/25/2020 4:10:32 PM
Change Blindness;-0.2646495;0.8422484;0.291501;11/25/2020 4:10:32 PM
Change Blindness;-0.2646495;0.8422484;0.291501;11/25/2020 4:10:32 PM
Change Blindness;-0.2646495;0.8422484;0.291501;11/25/2020 4:10:32 PM
Change Blindness;-0.2727095;0.8412734;0.304052;11/25/2020 4:10:32 PM
Change Blindness;-0.2746129;0.8409714;0.3069579;11/25/2020 4:10:32 PM
Change Blindness;-0.2746129;0.8409714;0.3069579;11/25/2020 4:10:32 PM
Change Blindness;-0.2793146;0.841144;0.3111773;11/25/2020 4:10:32 PM
Change Blindness;-0.2828489;0.8407745;0.3148818;11/25/2020 4:10:32 PM
