Condition;X;Y;Z;Displacement;Time stamp
Change Blindness;0.04018314;0.6721125;0.07380006;0;12/1/2020 9:48:42 AM
Change Blindness;0.03949842;0.6726767;0.07705322;0;12/1/2020 9:48:42 AM
Change Blindness;0.03728524;0.6721834;0.08261529;0;12/1/2020 9:48:42 AM
Change Blindness;0.03441312;0.6704119;0.08739954;0;12/1/2020 9:48:42 AM
Change Blindness;0.03313245;0.6696744;0.08961365;0;12/1/2020 9:48:42 AM
Change Blindness;0.03056011;0.6719723;0.08773468;0;12/1/2020 9:48:42 AM
Change Blindness;0.02941815;0.6728902;0.08716473;0;12/1/2020 9:48:42 AM
Change Blindness;0.02981218;0.6750976;0.08601847;0;12/1/2020 9:48:42 AM
Change Blindness;0.03024124;0.6788126;0.08437584;0;12/1/2020 9:48:42 AM
Change Blindness;0.02939887;0.6806114;0.08292628;0;12/1/2020 9:48:42 AM
Change Blindness;0.02857714;0.6823035;0.08167386;0;12/1/2020 9:48:42 AM
Change Blindness;0.02682551;0.6833444;0.07979921;0;12/1/2020 9:48:42 AM
Change Blindness;0.02601212;0.6838708;0.07902959;0;12/1/2020 9:48:42 AM
Change Blindness;0.02454654;0.6828564;0.07752669;0;12/1/2020 9:48:42 AM
Change Blindness;0.02385222;0.6815284;0.07676707;0;12/1/2020 9:48:42 AM
Change Blindness;0.0214763;0.6827219;0.07600283;0;12/1/2020 9:48:42 AM
Change Blindness;0.02032902;0.6833108;0.07562953;0;12/1/2020 9:48:42 AM
Change Blindness;0.01929476;0.6838452;0.07529134;0;12/1/2020 9:48:42 AM
Change Blindness;0.02451138;0.6790991;0.07228259;0;12/1/2020 9:48:42 AM
Change Blindness;-0.106568;0.9060855;0.07939705;0;12/1/2020 9:48:45 AM
Change Blindness;-0.1203526;0.9186434;0.09541777;0;12/1/2020 9:48:45 AM
Change Blindness;-0.1473832;0.9451287;0.1248299;0;12/1/2020 9:48:45 AM
Change Blindness;-0.1628746;0.9359344;0.1362831;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2037343;0.9052001;0.1689753;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2165328;0.8948986;0.1795953;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2297577;0.8856517;0.1904636;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2459759;0.8720343;0.2065399;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2544284;0.8661613;0.2146042;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2610829;0.8615378;0.220953;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2726777;0.8538539;0.2291031;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2745841;0.8524529;0.2283622;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2781493;0.8508804;0.2273796;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2797188;0.8506293;0.2269716;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2838327;0.849794;0.2273542;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2836631;0.8524299;0.2276398;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2848389;0.8555228;0.2298437;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2859848;0.8562185;0.2315848;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2868188;0.8567619;0.2328916;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2884929;0.8574533;0.2348147;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2892874;0.8576463;0.2354622;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2890979;0.8571337;0.2366488;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2893385;0.8568761;0.2374663;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2899565;0.8549235;0.238445;0;12/1/2020 9:48:45 AM
Change Blindness;-0.290418;0.8540276;0.2390569;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2908375;0.8531702;0.2403408;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2918629;0.8515415;0.2429024;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2922295;0.8510974;0.2444495;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2931023;0.8501742;0.2474801;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2940119;0.8497518;0.2487384;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2958016;0.8488778;0.2512784;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2970903;0.8481381;0.253221;0;12/1/2020 9:48:45 AM
Change Blindness;-0.2983316;0.8474226;0.2550994;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3010237;0.8447455;0.2611538;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3023159;0.8434914;0.2640072;0;12/1/2020 9:48:46 AM
Change Blindness;-0.304612;0.8423064;0.2686545;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3056863;0.8422107;0.270642;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3082069;0.8433334;0.2726313;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3094461;0.8437498;0.2737435;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3119742;0.8443211;0.2759026;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3133519;0.8445157;0.2770573;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3161112;0.8447908;0.2793674;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3173319;0.8448952;0.2804285;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3192866;0.8446821;0.2817623;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3230801;0.8442929;0.2844849;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3247243;0.8434311;0.2866927;0;12/1/2020 9:48:46 AM
Change Blindness;-0.328002;0.8418754;0.2909529;0;12/1/2020 9:48:46 AM
Change Blindness;-0.329611;0.8398228;0.2940322;0;12/1/2020 9:48:46 AM
Change Blindness;-0.3328299;0.8361007;0.2998884;0;12/1/2020 9:48:46 AM
Change Blindness;-0.333664;0.8352407;0.3010542;0;12/1/2020 9:48:46 AM
Change Blindness;-0.335673;0.8333843;0.3038414;0;12/1/2020 9:48:46 AM
