Condition;X;Y;Z;Displacement;Time stamp
Body warping;-0,04296116;0,7769756;0,07958476;0,09000003;2021-08-20 18:48:26
Body warping;-0,04296116;0,7769756;0,07958476;0,09000003;2021-08-20 18:48:26
Body warping;-0,05330743;0,7916114;0,08921836;0,09000003;2021-08-20 18:48:26
Body warping;-0,05330743;0,7916114;0,08921836;0,09000003;2021-08-20 18:48:26
Body warping;-0,06442019;0,800679;0,09484744;0,09000003;2021-08-20 18:48:26
Body warping;-0,06875747;0,7994215;0,09776282;0,09000003;2021-08-20 18:48:26
Body warping;-0,07209676;0,7988435;0,1003674;0,09000003;2021-08-20 18:48:26
Body warping;-0,07209676;0,7988435;0,1003674;0,09000003;2021-08-20 18:48:26
Body warping;-0,07643182;0,8004487;0,101902;0,09000003;2021-08-20 18:48:26
Body warping;-0,08087017;0,8021325;0,1036484;0,09000003;2021-08-20 18:48:26
Body warping;-0,08590137;0,8024619;0,1059012;0,09000003;2021-08-20 18:48:26
Body warping;-0,08590137;0,8024619;0,1059012;0,09000003;2021-08-20 18:48:26
Body warping;-0,09294939;0,7936486;0,1089674;0,09000003;2021-08-20 18:48:26
Body warping;-0,09631744;0,7903736;0,1099926;0,09000003;2021-08-20 18:48:26
Body warping;-0,09631744;0,7903736;0,1099926;0,09000003;2021-08-20 18:48:26
Body warping;-0,1007709;0,7853722;0,1098148;0,09000003;2021-08-20 18:48:26
Body warping;-0,1054142;0,7812799;0,1097019;0,09000003;2021-08-20 18:48:26
Body warping;-0,1118047;0,7828413;0,1093322;0,09000003;2021-08-20 18:48:26
Body warping;-0,1161692;0,7843448;0,108716;0,09000003;2021-08-20 18:48:26
Body warping;-0,1194326;0,7830068;0,1086754;0,09000003;2021-08-20 18:48:26
Body warping;-0,1227135;0,7815406;0,108684;0,09000003;2021-08-20 18:48:26
Body warping;-0,1227135;0,7815406;0,108684;0,09000003;2021-08-20 18:48:26
Body warping;-0,1303435;0,7807677;0,1117686;0,09000003;2021-08-20 18:48:26
Body warping;-0,1320174;0,7763265;0,1149462;0,09000003;2021-08-20 18:48:26
Body warping;-0,1320174;0,7763265;0,1149462;0,09000003;2021-08-20 18:48:26
Body warping;-0,131878;0,7602655;0,1264222;0,09000003;2021-08-20 18:48:26
Body warping;-0,131878;0,7602655;0,1264222;0,09000003;2021-08-20 18:48:26
Body warping;-0,129025;0,7534323;0,1304499;0,09000003;2021-08-20 18:48:26
Body warping;-0,1262819;0,7478044;0,1341064;0,09000003;2021-08-20 18:48:27
Body warping;-0,1185227;0,7530406;0,1372041;0,09000003;2021-08-20 18:48:27
Body warping;-0,1185227;0,7530406;0,1372041;0,09000003;2021-08-20 18:48:27
Body warping;-0,106117;0,7623514;0,1423731;0,09000003;2021-08-20 18:48:27
Body warping;-0,106117;0,7623514;0,1423731;0,09000003;2021-08-20 18:48:27
Body warping;-0,0956563;0,7835227;0,1418692;0,09000003;2021-08-20 18:48:27
Body warping;-0,0956563;0,7835227;0,1418692;0,09000003;2021-08-20 18:48:27
Body warping;-0,08869085;0,8008048;0,1377589;0,09000003;2021-08-20 18:48:27
Body warping;-0,08347625;0,7994982;0,1387364;0,09000003;2021-08-20 18:48:27
Body warping;-0,08347625;0,7994982;0,1387364;0,09000003;2021-08-20 18:48:27
Body warping;-0,07106629;0,7900367;0,1416785;0,09000003;2021-08-20 18:48:27
